"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
115,"""1215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
116,"""31215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
117,"""131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
118,"""2131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
119,"""12131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
120,"""412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
121,"""1412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
122,"""21412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
123,"""121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
124,"""3121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
125,"""13121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
126,"""213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
127,"""1213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
128,"""81213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
129,"""181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
130,"""2181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
131,"""12181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
132,"""312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
133,"""1312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
134,"""21312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
135,"""121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
136,"""4121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
137,"""14121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
138,"""214121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
139,"""1214121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
140,"""31214121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
141,"""131214121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
142,"""2131214121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
143,"""12131214121312181213121412131215121312141213121612131214121312151213121412131217121312141213121512131214121312161213121412131215121312141213121""",1
