"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
88,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabaca""",-1
89,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacab""",-1
90,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabc""",-1
91,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcb""",-1
92,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcba""",-1
93,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbab""",-1
94,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabc""",-1
95,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabca""",-1
96,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcab""",-1
97,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcaba""",-1
98,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabac""",-1
99,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabaca""",-1
100,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacba""",-2
101,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbab""",-1
102,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabc""",-1
103,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabca""",-1
104,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcab""",-1
105,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacb""",-2
106,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacba""",-1
107,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbab""",-1
108,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcab""",-3
109,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcaba""",-1
110,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabac""",-1
111,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabaca""",-1
112,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacab""",-1
113,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabc""",-1
114,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabca""",-1
115,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcac""",-1
116,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacb""",-1
117,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacba""",-1
118,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbab""",-1
119,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabc""",-1
120,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabca""",-1
121,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcab""",-1
122,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcaba""",-1
"","",""
"Status zakonczenia:","Osiagnieto limit iteracji",""
"Kierunek:","OdKonca",""
"Czas wykonania (s):",0.0196233,""
