"sep=,"
"Krok","WygenerowanaLiczba"
1,32
2,932
3,9323
4,93323
5,933523
6,9313523
7,93135223
8,931352231
9,9313252231
10,93132152231
11,931325152231
12,9313251532231
13,93132515322311
14,931325153222311
15,9313251513222311
16,93313251513222311
17,933132515133222311
18,9331325151332226311
19,93313252151332226311
20,933132521513322261311
21,9331325215133222621311
22,93313252151332322621311
23,933131252151332322621311
24,9331312521531332322621311
25,93313125215313323226251311
26,933131252153133232262513111
27,9331312521531332322622513111
28,93313125215313323226221513111
29,933131252153213323226221513111
30,9331312521532133232262215313111
31,93313125215321332322622315313111
32,933131252153621332322622315313111
33,9331312521536213323122622315313111
34,93313125215362133231226223153131113
35,933131252153621332312262231353131113
36,9332131252153621332312262231353131113
37,93321312521536213323122622313531311113
38,933213125215362133231226223313531311113
39,9332131252153621332312263223313531311113
40,93321312522153621332312263223313531311113
41,933213125221536213323122632233135313111131
42,9332131252215362133231226322331353131111321
43,93321312522153621332312263223313513131111321
44,933213123522153621332312263223313513131111321
45,9332131235221536213323122632233613513131111321
46,92332131235221536213323122632233613513131111321
47,923321312352215362133231212632233613513131111321
48,9233213123522153621332312126322336123513131111321
49,92332131235221536213323121263122336123513131111321
50,923321312352215362133231212631223361235131311112321
51,9233213123522153621133231212631223361235131311112321
52,92332131235221536211332312126312223361235131311112321
53,923321312352215362113323121263122233612351313111123231
54,9233213123522153621133231212631222133612351313111123231
55,92332131235221536211332312126312221336123513131131123231
56,923321313235221536211332312126312221336123513131131123231
57,9233213132352215362113323121263122213361235131311311232331
58,92332131323522153621133231212631222133612351313113112323321
59,923321313235221536211333231212631222133612351313113112323321
60,9233213132352215362113332312126312221336123513131131123123321
61,92332131323522153621133323121263122213361235131311311231232321
62,923321313235221536211333231212631222133612351313113112312312321
63,9233213132352215362113233231212631222133612351313113112312312321
64,92332131323522153621132332312126312221336123513131131123123123121
65,923321313235221536211323323121263122213361235131311311223123123121
66,9233213132352215362113233231212631222113361235131311311223123123121
67,92332131323522153621132332231212631222113361235131311311223123123121
68,923321313235221536211323322312126312221133612351313113112231231213121
69,9233213132352215362113233223121263122211336123513131131122312312123121
70,92332131323522153621132332231212631222113361235131311311223123121233121
71,923321313235221536211323322312126312221133612351313113112231231231233121
72,9233213132352215362113233223121263122211336123513131131122131231231233121
73,92332131323522153621132332231212631222113361235131311311222131231231233121
74,923321313235221536211323322312126312221133612351313113112221331231231233121
75,9233213132352215362113233223121263122211336123151313113112221331231231233121
76,92332131323522153621132332231212631222113361231513131131122213312312312332121
77,923321313235221536211323322312126312221133612315131311311222133123123123321321
78,9233213132352215362113233223121246312221133612315131311311222133123123123321321
79,92332131323522153621132332231212462312221133612315131311311222133123123123321321
80,923321313235223153621132332231212462312221133612315131311311222133123123123321321
81,9233213132352231536211323322312124623122211336123151313131311222133123123123321321
82,92332131323522315362113233223121246231122211336123151313131311222133123123123321321
83,292332131323522315362113233223121246231122211336123151313131311222133123123123321321
84,2923321313235223153621131233223121246231122211336123151313131311222133123123123321321
85,29233213132352231536211312332231212462311222113361231513131313112221336123123123321321
86,292332131323522315362113123322312124623211222113361231513131313112221336123123123321321
87,2923321313235223153621131233223121246232112221133612315131313131122213361231231213321321
88,29233213132352231536211312332231212462321122211336123151313313131122213361231231213321321
89,292332131323522315362113123322312124623211222113361231513133131311222133361231231213321321
90,2923321313235223153621131233223121246232112221133612315131331313112221333612312312123321321
91,29233213132352231536211312332231212462321122211336123151313313131122213336123123121233213241
92,292332131323522315362113123322312124623211222113361231513133131311222133361231231212332132413
93,2923321313235223153621131233223121246232112221133612315131331313112221333613231231212332132413
94,29233213132352231536211312332231212462321122211336123151231331313112221333613231231212332132413
95,292332131323522315362113123322312124623211222113361231512311331313112221333613231231212332132413
96,2923321313235223153621131233223121246232112222113361231512311331313112221333613231231212332132413
97,29233213132352231536211312332231212462321122221133612315123113313131122213313613231231212332132413
98,292332131323522315362113123322312124623211222211336123151231123313131122213313613231231212332132413
99,2923321313235223153621131233223121241623211222211336123151231123313131122213313613231231212332132413
100,29233213132352231536211312332231212416253211222211336123151231123313131122213313613231231212332132413
101,292332131323522315362113123322312124162532112222113316123151231123313131122213313613231231212332132413
102,2923321313235223153621131233322312124162532112222113316123151231123313131122213313613231231212332132413
103,29233213132352231536211312363322312124162532112222113316123151231123313131122213313613231231212332132413
104,292332513132352231536211312363322312124162532112222113316123151231123313131122213313613231231212332132413
105,2923325131323522315362113123633223121241625321122221133161231512311233131311222133136132312312123321132413
106,29233251313235223153621131236332231212416525321122221133161231512311233131311222133136132312312123321132413
107,292332513132352231536211312363322312124165253211222211331612315123112331313112322133136132312312123321132413
108,2923325131323522315362113123633221312124165253211222211331612315123112331313112322133136132312312123321132413
109,29233251313235223153621131236332213121241652532112222113316123151231123313131123221331361323212312123321132413
110,292332513132352231536211312363322131212416352532112222113316123151231123313131123221331361323212312123321132413
111,2923325131323522315362113123633221312124316352532112222113316123151231123313131123221331361323212312123321132413
112,29233251313235223153621131236332213121243163525321122221133161231512311233131311232213313613232123121233213132413
113,292332513132352231536211312363322131212431163525321122221133161231512311233131311232213313613232123121233213132413
114,2923325131323522315362113123633221312124311635253211222211233161231512311233131311232213313613232123121233213132413
115,29233251313235223153621131236332213121243116352532112222112331612315123112331313112321213313613232123121233213132413
116,292332513132352231536211312363322131212431163525321122221123316123151231123313131123212135313613232123121233213132413
117,2923325131323522315362113123633221312112431163525321122221123316123151231123313131123212135313613232123121233213132413
118,29233251313235223153621131236332213121124311635253211222211233161231512311233131311232121325313613232123121233213132413
119,292332513132352231536211312363322131211243116352532112222112331612315123112331313112321213253136132321231216233213132413
120,2923325131323522315362113123633221312112431163525321122221123316123151231123313131123212132531361323212311216233213132413
121,29233251313235223153621131236332213121124311635253211222211233161231512311233131311232121325312361323212311216233213132413
122,292332513132352231536211312363322131211243113635253211222211233161231512311233131311232121325312361323212311216233213132413
123,2923325131323522315362113123633221312112431136335253211222211233161231512311233131311232121325312361323212311216233213132413
124,29233251313235223153621131123633221312112431136335253211222211233161231512311233131311232121325312361323212311216233213132413
125,292332513132352231536211311236332213121124311363352532112222112331612315123112331313112321213253123613323212311216233213132413
126,2923325131323522315362113112363322131211243113633525321122221123316123151231123313131123212132531236133232123112162332131324213
127,29233125131323522315362113112363322131211243113633525321122221123316123151231123313131123212132531236133232123112162332131324213
128,292331251313235223153621131123633221312112431136335253211222211233161231512311233131311232121325312361332321231122162332131324213
129,2923312513132352231536211311236332213121124311363352532112222112331612315123112331313112321213253123613323212311221623321313124213
130,29233125131323522315362113112363322131211243113633525321122221312331612315123112331313112321213253123613323212311221623321313124213
131,292331251313235223153621131123633221312112431136335253211222213123316123151231123313131123212132531236133232123112213623321313124213
132,2923312513132352231536211311236332213121124311363352532112222131233161232151231123313131123212132531236133232123112213623321313124213
133,29233125131323522315362113112363322131211243113633525321122221312331612321512311233131311232121325312361332321231122136233213313124213
134,292331251313235223153621131123633221312112431136335253211222213123316123215123112331361311232121325312361332321231122136233213313124213
135,2923312513132352231536211311236332213121124311363352532112222131233161232151231123313613112321213253123613323212311221362332113313124213
136,29233125131323522315362113112363322131211243113633525321122221312331612321251231123313613112321213253123613323212311221362332113313124213
137,292331251313235223153621131123633221312112431136335125321122221312331612321251231123313613112321213253123613323212311221362332113313124213
138,2923312513132352232153621131123633221312112431136335125321122221312331612321251231123313613112321213253123613323212311221362332113313124213
139,29233125131323522321536211311236332213121124311136335125321122221312331612321251231123313613112321213253123613323212311221362332113313124213
140,292331251313235223215362211311236332213121124311136335125321122221312331612321251231123313613112321213253123613323212311221362332113313124213
141,2923312513132352232153622113112363322131211243111363351253211222213123316123212151231123313613112321213253123613323212311221362332113313124213
142,29233125131323522321536221131123633221312112431113633512532112222131233161232121512311233136131123212132531236133232212311221362332113313124213
143,292331251313235223215362211311236332213121124311136335125321122221312331612321215123112336136131123212132531236133232212311221362332113313124213
144,2923312513132352232153622113112363322131211243111363351253211222213123316123212151231123361361311232121324531236133232212311221362332113313124213
145,29233125131323522321536221131123633221312112431113633512532112222131233161232121512311233613613112321213245312361332322123112213623321133123124213
146,292331251313235223214536221131123633221312112431113633512532112222131233161232121512311233613613112321213245312361332322123112213623321133123124213
147,2923312513132352232145362211312123633221312112431113633512532112222131233161232121512311233613613112321213245312361332322123112213623321133123124213
148,29233125131323522321453622113121236332213121124311136335125321122221312331612321215123112336136131123212132453123613323221231122136233211331231242131
149,292331251313235223214536221131212363322131211243111363351253211222213123316123212151231123361361321123212132453123613323221231122136233211331231242131
150,2923312513132352232145362211312123633221312112431113633512532112222131233161213212151231123361361321123212132453123613323221231122136233211331231242131
151,29233125131323522321453622113121236332213121124231113633512532112222131233161213212151231123361361321123212132453123613323221231122136233211331231242131
152,292331251313235223214536221131212363322131211242311136335125321122221312331612132121512311233613613211232121324531236133232212311221362332113331231242131
153,2923312513132352232145362211312123633221312112423111363351253211222213123316112132121512311233613613211232121324531236133232212311221362332113331231242131
154,29233125131323522321453622113121236332213121124231113633512532112222131233161121321215212311233613613211232121324531236133232212311221362332113331231242131
155,292331251313235223214536221131212363322131211242311136335125321122221312331611213212152132311233613613211232121324531236133232212311221362332113331231242131
156,2923312513132352232145362211312123633221312112423111363351253211222213123316112132121521323112336143613211232121324531236133232212311221362332113331231242131
157,29233125131323522321453622113121236332213121124231113633512532112222131233161121321215213231123361432613211232121324531236133232212311221362332113331231242131
158,292331251313235223214536221131212363322131211242311136335125321122221312331611213212152132311233614326132112321213214531236133232212311221362332113331231242131
159,2923312513132352232145362211312123633221312112423111236335125321122221312331611213212152132311233614326132112321213214531236133232212311221362332113331231242131
160,29233125131323522321453622113121236332213121124231112363351253211222213123316112132121521323112336143261321123212132145312361332322123112211362332113331231242131
161,292331251313235223214536221131212363322131211242311123633512532112222131233161121321215213231123361432613211232121321453123613323221231122113623321133312331242131
162,2923312513132352232145362211312123633221312112423111236335125321122221312331611213212152132311233614326132112321213214531236133232212311232113623321133312331242131
163,29233125131323522321453622113121236332213121124231112363351253211222213123316112132121521323112336143261321123212123214531236133232212311232113623321133312331242131
164,292331251313235223214536221131212363322131211242311123633512532112222131233161121321215213231123361432613211232121232145312361332322123112321136233211333123312142131
165,2923312513132352232145362211312132363322131211242311123633512532112222131233161121321215213231123361432613211232121232145312361332322123112321136233211333123312142131
166,29233122513132352232145362211312132363322131211242311123633512532112222131233161121321215213231123361432613211232121232145312361332322123112321136233211333123312142131
167,292331225131323522321453622113121323633221312112423111236335125321122221312331611213212152132311233614326132112321212321453123613323221231123211316233211333123312142131
168,2923312251313235223214536221131213236332213121124231112363351253211222213123316112132121521323112336143261321123212123214531236133223221231123211316233211333123312142131
169,29233122513132352232145362211312132363322131211242311123613351253211222213123316112132121521323112336143261321123212123214531236133223221231123211316233211333123312142131
170,292331225131323522321453622113121323633221312112423111236133512353211222213123316112132121521323112336143261321123212123214531236133223221231123211316233211333123312142131
171,2923312251313235223214536221131213236332213121124231112361335123532112222131233161121321215213231123361432613211232121232145312361332232212231123211316233211333123312142131
172,29233122513132352232145362211312132363322131211242311123613351235321122221312331611213212152132311233614312613211232121232145312361332232212231123211316233211333123312142131
173,292331225131323522321453622113121323633221312112423111236133512353211222213123316112132121521323112336143126132211232121232145312361332232212231123211316233211333123312142131
174,2923312251313235223214536232113121323633221312112423111236133512353211222213123316112132121521323112336143126132211232121232145312361332232212231123211316233211333123312142131
175,29233122513132352232145362321131213236332213121124231112361335123532112222131233161121321215213231123361431261322112321212321453123613322322124231123211316233211333123312142131
176,292331225131323522321453623211312132363322131211242311123613351235321122223131233161121321215213231123361431261322112321212321453123613322322124231123211316233211333123312142131
177,2923312251313235223214536232113121323633221312112423111236133512353211222231312331611213212152123231123361431261322112321212321453123613322322124231123211316233211333123312142131
178,29233122513132352232145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322112321212321453123613322322124231123211316233211333123312142131
179,292331225131323522321453623211312132363322131211242311123613351235321122223413123316112132121521232311233614312613221123212123214531236133223221242311232113162332113331233121421321
180,2923312251313235223214536232113121323633221312112423111236133512353211222234131233161121321215212323112336143126132211232121232145312361332423221242311232113162332113331233121421321
181,29233123251313235223214536232113121323633221312112423111236133512353211222234131233161121321215212323112336143126132211232121232145312361332423221242311232113162332113331233121421321
182,292331232513132352232145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322112321212321453123613324232212423112232113162332113331233121421321
183,2923312325131342352232145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322112321212321453123613324232212423112232113162332113331233121421321
184,29233123251313423522321453623211312132363322131211242311123613351235321122223413123316112132121521232311233614312613221123212123214531236133242322124223112232113162332113331233121421321
185,292331232513134235223214536232113121323633221312112423111236133512353211222234131233161121321215212323112336143126132211232121232145312361332423221242123112232113162332113331233121421321
186,2923312325131342352232145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322112321212321453123613324232212421231122321131623321133313233121421321
187,29233123251313423522321453623211312132363322131211242311123613351235321122223413123316112132121521232311233614312613221123212212321453123613324232212421231122321131623321133313233121421321
188,292331232513134235224321453623211312132363322131211242311123613351235321122223413123316112132121521232311233614312613221123212212321453123613324232212421231122321131623321133313233121421321
189,2923312325131342352243214536232113121323633221312112423111236133512353211222234131233161121321215212323112336143126132211232122123214253123613324232212421231122321131623321133313233121421321
190,29233123251313423522143214536232113121323633221312112423111236133512353211222234131233161121321215212323112336143126132211232122123214253123613324232212421231122321131623321133313233121421321
191,292331232513134235221432145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322112321221232142253123613324232212421231122321131623321133313233121421321
192,2923312312513134235221432145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322112321221232142253123613324232212421231122321131623321133313233121421321
193,29233123125131342352214321453623211312132363322131211242311123613351235321122223413123316112132121521232311233614312613221123212212321422531236133242322124212311223211321623321133313233121421321
194,292331231251313423522143214536232113121323633221312112423111236133512353211222234131233161121321215212323112336143126132213123212212321422531236133242322124212311223211321623321133313233121421321
195,2923312312513134235221432145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322131232122123214225312361332423221242123112232113216233211333132331231421321
196,29233123125131342352214321453623211312132363322131211242311123613351235321122223413123316112132121521232311233614312613221312321221232142253123613324232212421231412232113216233211333132331231421321
197,292331231251313423522143214536232113121323633221312112423111236133512353211222234131233161121321215212323112336143126132213123212212321422531236133224232212421231412232113216233211333132331231421321
198,2923312312513134235221432145362321131213236332213121124231112361335123532112222341312331611213212152123231123361431261322131232122123214221531236133224232212421231412232113216233211333132331231421321
199,29233123125131342352214321453623211312132363322131211242311123613351235321122223413123316112132121521232311233614312613221312321252123214221531236133224232212421231412232113216233211333132331231421321
200,292331231251313423522143214536232113121323633221312112423111236133512353211222234131233161121312121521232311233614312613221312321252123214221531236133224232212421231412232113216233211333132331231421321
"",""
"Status zakonczenia:","Ukonczono (Wariant A)"
"Czas wykonania (s):",4.4519475
