"sep=,"
"Krok","WygenerowanaLiczba"
1,1
2,11
3,211
4,2111
5,21121
6,211213
7,3211213
8,32111213
9,232111213
10,2312111213
11,23212111213
12,232121111213
13,2321211121213
14,23212111231213
15,232121112312113
16,2321211123121123
17,21321211123121123
18,213212111232121123
19,1213212111232121123
20,13213212111232121123
21,213213212111232121123
22,2132132121112132121123
23,21321321211512132121123
24,213213212115112132121123
25,2123213212115112132121123
26,21232132121151121312121123
27,212321321211511213121212123
28,2123213212115131213121212123
29,21123213212115131213121212123
30,211232132121151312132121212123
31,2112321321211513121321212121231
32,21123213212115131213521212121231
33,211232132121151312134521212121231
34,2112232132121151312134521212121231
35,21122321321211513121345241212121231
36,211223213212115131213452412123121231
37,2112232132121151312134524122123121231
38,21122312132121151312134524122123121231
39,211223121321211513121345241221323121231
40,2112231213212115131213245241221323121231
41,21122312132121151312132452412211323121231
42,211223121321211513121324523412211323121231
43,2112231213212112513121324523412211323121231
44,21122312132121125131213245234122113231213231
45,211223121321211251312132452341221132312313231
46,2112231213212112513121324523412121132312313231
47,21132231213212112513121324523412121132312313231
48,211322312132121125131213245234121211323123123231
49,2113223121321211251312132452341212113213123123231
50,21132231213212211251312132452341212113213123123231
51,211322312132122112513121324523412112113213123123231
52,2113223121321221125131213245234123112113213123123231
53,21132231213212211251312132452341231121135213123123231
54,211322312132122112513121324523412311211135213123123231
55,2113223121321221125131221324523412311211135213123123231
56,21132231213212211251312213245234123131211135213123123231
57,211322312132122112513122313245234123131211135213123123231
58,2113122312132122112513122313245234123131211135213123123231
59,21131223121321221125131223132452341231312111352131231223231
60,213131223121321221125131223132452341231312111352131231223231
61,2131312231213212211251312231324512341231312111352131231223231
62,21313122312132122112513122313245123412313121113521312312233231
63,213131223121321221125131322313245123412313121113521312312233231
64,2131312231213212211251313223132451234123131231113521312312233231
65,21313122312132122112513132231324512341231312311123521312312233231
66,213131223121321221125131322311324512341231312311123521312312233231
67,2131312231213212211251313223113245123412313123111235213125312233231
68,21313122312132122112513132231132451234123131323111235213125312233231
69,213131223121321221125131322311324512341231313231112352131253121233231
70,2131312231213212211251313223113245123412313132312112352131253121233231
71,21313122331213212211251313223113245123412313132312112352131253121233231
72,213131223312132122112513132231132451234123131323121123521312531212332331
73,2131312233121321221125131322311324512341231313233121123521312531212332331
74,21313122331213212211251313223113245123412313132331211235213125312123312331
75,213131223312132122112513123223113245123412313132331211235213125312123312331
76,2131312233121321221125131232213113245123412313132331211235213125312123312331
77,21313122331213212211251312322131132451234123131323312112352131253121232312331
78,213131223312132122112513123221311321451234123131323312112352131253121232312331
79,2131312233121321221125131232213113214512341231313233121123252131253121232312331
80,21313122331213212211251312322131132145123412313132331211232521312153121232312331
81,213131223312132122112513123221311321451234123131323312112232521312153121232312331
82,2131312233121321221125131232213113214512341231313233121122325213121513121232312331
83,21313122331213212211251312322131132142512341231313233121122325213121513121232312331
84,213131223312132122112513123221311321425123412313132331211223252131215131212323123311
85,2131312233121321221125131232213113214225123412313132331211223252131215131212323123311
86,21313122331213212421125131232213113214225123412313132331211223252131215131212323123311
87,213131223312132124211251312322131132142251234123131232331211223252131215131212323123311
88,2131312233121321242112513123221311321422512341231312323312112232152131215131212323123311
89,21313122233121321242112513123221311321422512341231312323312112232152131215131212323123311
90,213131222331213212421125131232213113214225123412313123213312112232152131215131212323123311
91,2131312223312132124211251312322131132142251234123131232313312112232152131215131212323123311
92,21313122233121321242112513123221311321422512341231312323133121122321521312151312123233123311
93,213131222331213212421125131232213113214225123412313123231331211223215321312151312123233123311
94,2131312223312132124211251312322131132142251234123131232313312112232153213121513121232332123311
95,21313122233121321242112513123221311321422512341231312323133121122321153213121513121232332123311
96,213131222331213212421125131232213113214225123412313123231331211223211532131215131212232332123311
97,2131312223312132124211251312322131132142251234123131232313312112232115132131215131212232332123311
98,21313122233121321242112513312322131132142251234123131232313312112232115132131215131212232332123311
99,213131222331213212421212513312322131132142251234123131232313312112232115132131215131212232332123311
100,2131312223312132124212125133123221311321422512341231312323133121122321115132131215131212232332123311
101,21313122233121321242121251533123221311321422512341231312323133121122321115132131215131212232332123311
102,213131222331213212421212515331232213113214225123412313123231331211223211151323131215131212232332123311
103,2131312221331213212421212515331232213113214225123412313123231331211223211151323131215131212232332123311
104,21313122213312132124212125153312322131132142251234123213123231331211223211151323131215131212232332123311
105,213131222133121321242121251533123221311321422512341232131232313312112232111513231312151312122323321123311
106,2131312221331213212421212521533123221311321422512341232131232313312112232111513231312151312122323321123311
107,21313122213312132124212125215331232213113214225123412321312323133121122321115132313121511312122323321123311
108,213131222133121321242121252153312322131132142251234123213123231331211223211151323131215113121223233211233311
109,2131312221331213212421212521533123221311321422512341232131232313312112232111513231312151131212232332112338311
110,21313122213312132124212125215331232213113214225123412321312323133121122321115132313121511312122323321123383131
111,213131222133121321242121252153312322131132142251234123213123231331211232321115132313121511312122323321123383131
112,2131312221331213212421212521533123221311321422512341232131232313312112323211151323131215113121223323321123383131
113,21313122213312132124212125215331232213113214225123441232131232313312112323211151323131215113121223323321123383131
114,213131222133121321242121252153312322131132142251234412321312323133121212323211151323131215113121223323321123383131
115,2131312221331213121242121252153312322131132142251234412321312323133121212323211151323131215113121223323321123383131
116,21313122213312131212421212521533123221311321422512344123213123231331212123232111521323131215113121223323321123383131
117,213131222133121312124212125215331232213113214225123441232131232313312121232321115213231431215113121223323321123383131
118,2131312221331213121242121252153312322131132142251234412321312323133121212323212115213231431215113121223323321123383131
119,21313122213312131212421212521533123221311321422512344123213123231331212123232121152132314312151413121223323321123383131
120,213131222133121312124212125215331232213113214225132344123213123231331212123232121152132314312151413121223323321123383131
121,2131312221331213121242121252153312322131132142251323441232131232313312121232321211521323143121514213121223323321123383131
122,21313122213312131212421212521533123221311132142251323441232131232313312121232321211521323143121514213121223323321123383131
123,213131222133121312124212125215331232213111321422513234412321312323133121212323212115213231431215142131212233233211233831321
124,2131312221331213121242121252153312322131113214225132344123213123231331212123232121152132314312151421312312233233211233831321
125,21313122213312131212421212521533123221311132142251323441232131232313312121232321211521323143121514213123122332332311233831321
126,213131222133121312124212125215331232213111321422513234412321312323133121212323212115213231431215142131231223323323112338314321
127,2131312221331213121242121252153312322131113214225132344123213123231331212123232121152132314312151421312312233233231123383124321
128,21313122213312131212421212521533123221311132142251323441232131232313312121323232121152132314312151421312312233233231123383124321
129,213131222133121312124212125215331232213111321422513234412321312323133121213232321211512132314312151421312312233233231123383124321
130,2131312221331213121242121252153312322131113214225132344123213123231331212132323212115121323143121512421312312233233231123383124321
131,21313122213312131212421212521533123221311132142251323441232131231231331212132323212115121323143121512421312312233233231123383124321
132,213131222133121312124212125215331232213111321422513234412321312312313312121323232121151213231431212512421312312233233231123383124321
133,2131312221331213121242121252153312322131113214225132344123213123123133121211323232121151213231431212512421312312233233231123383124321
134,21313122213312131212421212521533123221311132142251323441232131231231331212113232321211512132314312125124213123126233233231123383124321
135,213131222133121312124212125215331232213111321422513234412321312312313312121132323212115121323143121253124213123126233233231123383124321
136,2131312221331213121242121252153312322131113214225132344123213123123132312121132323212115121323143121253124213123126233233231123383124321
137,21313122213312131212421212521533123221311132142251321344123213123123132312121132323212115121323143121253124213123126233233231123383124321
138,213131222133121312124212125215331232213111321422513212344123213123123132312121132323212115121323143121253124213123126233233231123383124321
139,2131312221331213121242121252153312322131113214225132123441232131231231323121211323233212115121323143121253124213123126233233231123383124321
140,21313122213312131212421212521153312322131113214225132123441232131231231323121211323233212115121323143121253124213123126233233231123383124321
141,213131222133121312124212125211533123221311132142251321234412321312312312323121211323233212115121323143121253124213123126233233231123383124321
142,2131312221331213121242121252115331232213111321422513212344123213123123123231212113232332121151213231431213253124213123126233233231123383124321
143,23131312221331213121242121252115331232213111321422513212344123213123123123231212113232332121151213231431213253124213123126233233231123383124321
144,231313122213312131212421212521153312322131113214225132123441232131231231232312121132323321211512132314312132531242131231262332332311233831214321
145,2313131222133121312124212125211533123221311132142251321234412321312312312323121211323233212115121323143121325312421312312623322332311233831214321
146,23131312221331213121242121252115331232213111321422513212344123213112312312323121211323233212115121323143121325312421312312623322332311233831214321
147,231313122213312131212421212521153312322131113214225132123441232131123123123231212113232332121152121323143121325312421312312623322332311233831214321
148,2313131222133121312124212125211533123221311132142251321234412321311231231232312121132323321211521213231431213253124213123126233223332311233831214321
149,23131312221331213121242121252115331232213111321422513212344123213112312312323121211323233212115212132314312132531242131231262332233323112338311214321
150,231313122213312131212421212521153312322131113214225132123441232131123123123231212113232323212115212132314312132531242131231262332233323112338311214321
151,2313131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212132314312132531242131231262332233323112338311214321
152,23131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531242131231262332233323112338311214321
153,231313122213312131212421212521153312322133111321422513212344123213112312312323121211323232321211521213323143121325312442131231262332233323112338311214321
154,2313131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212338311214321
155,23113131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212338311214321
156,231131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531244213123126233223332312123382311214321
157,2311313122213312131212421212521153312322133111321422513212344123213112312312323121211323232321211521213323143121325312442131231262332233323121233182311214321
158,23113131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212331823112154321
159,231131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531244213123121623322333231212331823112154321
160,2311313122213312131212421212521153312322133111321422513212344123213112312312323121211323232321211521213323143121325312442131231216232322333231212331823112154321
161,23113131222133121312124212125211533123221331113214225131212344123213112312312323121211323232321211521213323143121325312442131231216232322333231212331823112154321
162,231131312221331213121242121252115331232213311132142251312123441232131123123123231212113232323212115221213323143121325312442131231216232322333231212331823112154321
163,2311313122213312131212421212521153312322133111321422513121234412321311231231232312121132323232121152212133231431213253124421312312162323223332312123318213112154321
164,23113131222133121312124212125211533123221331113214225131212344123213112312312323121211323232321211522121332314312132531244213123121623232233323121233182131121254321
165,231131312221331213121242121252115331232213311132142251312123441232131123123123231212113232323212115221213323143121325312442131231216232322333231212331821131121254321
166,2311313122213312131212421212521153312322133111321422251312123441232131123123123231212113232323212115221213323143121325312442131231216232322333231212331821131121254321
167,23113131222133121312124212125211533123221331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333231212331821131121254321
168,231131312322133121312124212125211533123221331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333231212331821131121254321
169,2311313123221331213121242121252115331232321331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333231212331821131121254321
170,23113131232213312131212421212521153312323213311132142225131212344123213112312312323121211323232321211522132133231431213253124421312312162323223332312123318211331121254321
171,231131312322133121131212421212521153312323213311132142225131212344123213112312312323121211323232321211522132133231431213253124421312312162323223332312123318211331121254321
172,2311313123221331211312124212125211533123232133111321422251312123441232131123123123231212113232323212115221321332314312132531244213123121623232233323122123318211331121254321
173,23113131232213312113121242121252115331232321331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333233122123318211331121254321
174,231131312322133121131212421212521153312323213311132142225131212344123213112312312323121211323232321211522132133231431213253124421312312162323223332331221233418211331121254321
175,2311313123221331211312124212125211533123232133111321422251312123424123213112312312323121211323232321211522132133231431213253124421312312162323223332331221233418211331121254321
176,23113131232213312113121242121252115331232321331113214222513121234241232131123123123231212113232323212115221321332314312132531244211312312162323223332331221233418211331121254321
177,231131312322133121131212421212521153312323213231113214222513121234241232131123123123231212113232323212115221321332314312132531244211312312162323223332331221233418211331121254321
178,2311313123221331211312124212125211533123232132311132142225131214234241232131123123123231212113232323212115221321332314312132531244211312312162323223332331221233418211331121254321
179,23113131232213312113121242121252115331232321323111321422251312142342412321311231231232312121132323232121152213213323143121325312442113123121623232233322331221233418211331121254321
180,231131312322133121131321242121252115331232321323111321422251312142342412321311231231232312121132323232121152213213323143121325312442113123121623232233322331221233418211331121254321
181,2311313123221331211313212421212521153312323213231113214212251312142342412321311231231232312121132323232121152213213323143121325312442113123121623232233322331221233418211331121254321
