"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
90,"""cbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
91,"""acbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
92,"""abcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",2
93,"""babcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
94,"""cbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
95,"""acbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
96,"""bacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
97,"""abacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
98,"""cabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
99,"""acabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
100,"""bacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
101,"""cbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
102,"""acbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
103,"""cacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
104,"""bcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
105,"""abcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
106,"""babcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
107,"""cbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
108,"""acbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
109,"""bacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
110,"""abacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
111,"""cabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
112,"""acabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
113,"""bacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
114,"""cbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
115,"""bcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
116,"""abcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
117,"""babcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
118,"""cbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
119,"""acbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
120,"""bacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
121,"""abacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
122,"""cabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
123,"""acabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
