"sep=,"
"Krok","WygenerowanaLiczba"
1,12
2,127
3,1277
4,12757
5,127579
6,1275709
7,12757091
8,127570901
9,1275709021
10,12757090261
11,127570902619
12,1275709026719
13,12757090267139
14,127570902671393
15,1275709026718393
16,12757090267183963
17,127570902674183963
18,1275709026741839623
19,12757090267418396239
20,127570902674183962439
21,1275709026741830962439
22,12757090267418309623439
23,127570902674183096239439
24,1275709026741830962394359
25,12757090267418309623943549
26,127570902674183096239435349
27,1275709026741830962394355349
28,12757090267418309623943553439
29,127570902674183096239435534349
30,1275709026741830962394355324349
31,12757090267418309623943553204349
32,127570902674183096239435532044349
33,1275709026741830962394355320443549
34,12757090267418309623943553204435439
35,127570902674183096239435532044354369
36,1275709026741830962394355320443543169
37,12757090267418309623943553204435431699
38,127570902674183096239435532044350431699
39,1275709026741830962394355320443504316909
40,12757090267418309623943553204435034316909
41,127570902674183096239435532044350342316909
42,1275709026741830962394355320443503423169097
43,12757090267418309623943553204435034231692097
44,127570902674183096239435532044350342301692097
45,1275709026741830962394355320443503423016923097
46,12757090267418309623943553204435034230169203097
47,127570902674183096239435532044350342301693203097
48,1275709026741830962394355320443503423016932030973
49,12757090267418309623943553204435034230169320309713
50,127570902674183096239435532044350342301693203097313
51,1275709026741830962394355320443503423016932030907313
52,12757090267418309623943553204435034230169320309307313
53,127570902674183096239435532044350342301693203093073163
54,1275709026741830962394355320443503423016932030930731683
55,12757090267418309623943553204435034230169320309307316813
56,127570902674183096239435532044350342301693203093073168123
57,1275709026741830962394355320443503423016932030930731681293
58,12757090267418309623943553204435034230169320330930731681293
59,127570902674183096239435532044350342301693203309307316812913
60,1275709026741830962394355320443503423016932033093073168128913
61,12757090267418309623943553204435034230169320330793073168128913
62,127570902674183096239435532044350342301693203307930731681289183
63,1275709026741830962394355320443503423016932033079307316812689183
64,12757090267418309623943553204435034230169320330793073168121689183
65,127570902674183096239435532044350342301693203307930731681216891823
66,1275709026741830962394355320443503423016932033079307316812168918231
67,12757090267418309623943553204435034230169320330793073168121689518231
68,127570902674183096239435532044350342301693203307930731681216895182331
69,1275709026741830962394355320443503423016932033079307316812168951823431
70,12757090267418309623943553204435034230169320330793073168121689516823431
71,127570902674183096239435532044350342301693203307930731681216895168234361
72,1275709026741830962394355320443503423016932033079307316812168951682334361
73,12757090267418309623943553204435034230169320330793073168121689551682334361
74,127570902674183096239435532044350342301693203307930731681921689551682334361
75,1275709026741830962394355320443503423016932033079307316819216895516823346361
76,12757090267418309623943553204435034230169320330793073168192168955168233463671
77,127570902674183096239435532044350342301693203307930731681921689551368233463671
78,1275709026741830962394355320443503423016932033079307316819216890551368233463671
79,12757090267418309623943553204435034230169320330793073168192168905513682334863671
80,127570902674183096239435532044350342301693203307930731681921689055136823348630671
81,1275709026741830962394355320443503423016932033079307316819216890551368233486306711
82,12757090267418309623943553204435034230169320330793073168192168905513682332486306711
83,127570902674183096239435532044350342301693203307930731681921689055136823324863036711
84,1275709026741830962394355320443503423016932033079307316819216890551368233248630364711
85,12757090267418309623943553204435034230169320330793073168192168905513682332486390364711
86,127570902674183096239435532044350342301693203307930731681902168905513682332486390364711
87,1275709026741830962394355320443503423016932033079307316819021689055136823324863908364711
88,12757090267418309623943553204435034230169320330793073168190216890551368233248639083604711
89,127570902674183096239435532044350342301693203307930731681902168905513682332486390836047161
90,1275709026741830962394355320443503423016932033079307316819021689055136823324864390836047161
91,12757090267418309623943553204435034230169320330793073168190216890551368239324864390836047161
92,127570902674183096239435532044350342301693203307930731681902168905513682393248643908360497161
93,1275709026741830962394355320443503423016932033079307316819021689055136823932486439083604971961
94,12757090267418309623943553204435034230169320330793073168190216890551368239324864390836049719661
95,127570902674183096239435532044350342301693203307930731681902168905513682393248643908360497196681
96,1275709026741830962394355320443503423016932033079307316819021689055136823932486439083604997196681
97,12757090267418309623943553204435034230169320330793073168190216890551368239324864390831604997196681
98,127570902674183096239435532044350342301693203307930731681902168905513682393248643908316094997196681
99,1275709026741830962394355320443503423016932033079307316819021689055136823932486439083160949597196681
100,12757090267418309623943553204435034230169320330793073168190216890551368239324864390833160949597196681
101,127570902674183096239435532044350342301693203307930731681902168905513682393248643908331609495971966861
102,1275709026741830962394355320443503423016932033079307316819021689055136823932486439083316094959719668671
103,12757090267418309623943553204435034230169320330793073168190216890551368239324864390833160949597196686971
104,127570902674183096239435532044350342301693203307930731681902168905513682393248643908331609495971396686971
105,1275709026741830962394355320443503423016932033079307316819021689055813682393248643908331609495971396686971
106,12757090267418309623943553204435034230169320330793073168190216890558136823932486439083316093495971396686971
107,127570902674183096239435532044350342301693203307930731681902168905581368239324864390833160943495971396686971
108,1275709026741830962394355320443503423016932033079307316819021689055813682393248643908331609434959713965686971
109,12757090267418309623943553204435034230169320330793073168190216890558136823932048643908331609434959713965686971
110,127570902674183096239435532044350342301693203307930731681902168905581368239320486439083316094349597139465686971
111,1275709026741830962394355320443503423016932033079307316819021689055813682393204864390833160943495971394656826971
112,12757090267418309623943553204435034230169320330793073168190216890558136823932048643908331609434959713946756826971
113,127570902674183096239435532044350342301693203307930731681902168905581368239320486439083316094349597813946756826971
114,1275709026741830962394355320443503423016932033079307316819021689055813682393204864390833160943495978139467568266971
115,12757090267418309623943553204435034230169320330793073168190216890558136823932048643908331609434959781394675682066971
116,127570902674183096239435532044350342301693203307930731681902168905581368239320486439083316094134959781394675682066971
117,1275709026741830962394355320443503423016932033079307316819021689055813682393204864390833160941349597813946756832066971
118,12757090267418309623943553204435034230169320330793073168190216890558136823932048643908331605941349597813946756832066971
119,127570902674183096239435532044350342301693203307930731681902168905581368239320486439083316059413495978139467568320669711
120,1275709026741830962394355320443503423016932033079307316819021689055813682393204864390833160594134959781394675683206697191
121,12757090267418309623943553204435034230169320330793073168190216890558136823932048643908331605941349597813946756283206697191
122,127570902674183096239435532044350342301693203307930731681902168905581368239320486439083316015941349597813946756283206697191
123,1275709026741830962394355320443503423016932033079307316819021689055813682393204864390833160159413459597813946756283206697191
124,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459597813946756283206697191
125,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595970813946756283206697191
126,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345959708139467562832056697191
127,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459597081394675628320566797191
128,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595970813946756283205663797191
129,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970813946756283205663797191
130,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708139467562832056639797191
131,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097081394675628320356639797191
132,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970813924675628320356639797191
133,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708139246756218320356639797191
134,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097081392467562183208356639797191
135,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970813924675621832083566397697191
136,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708139246756218320835663097697191
137,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097081392467562183208356630976917191
138,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970813924675621832083566309736917191
139,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708139246756218320835966309736917191
140,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097081392467562183203835966309736917191
141,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970813924675621832038359660309736917191
142,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708139246756218320358359660309736917191
143,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097081392946756218320358359660309736917191
144,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970813929467562183203583596603097369171791
145,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313929467562183203583596603097369171791
146,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083139294675621832035835966030973696171791
147,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675621832035835966030973696171791
148,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756218320358359660309073696171791
149,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467562183203583596603090736961717941
150,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675621832035083596603090736961717941
151,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946750621832035083596603090736961717941
152,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467506218232035083596603090736961717941
153,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675062182320350835966030907369617170941
154,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756062182320350835966030907369617170941
155,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560621823203508735966030907369617170941
156,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675606218232035087356966030907369617170941
157,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756062182320350873569660309073696917170941
158,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560621823203508735696603090736960917170941
159,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675606218232035087356966030907369609171705941
160,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756062182320350873569660309073696091717059491
161,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962182320350873569660309073696091717059491
162,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609621823203508735696603069073696091717059491
163,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096218232035087356966030690736960917170594191
164,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962182320350873569660306907369609171706594191
165,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609621823203508735696603069073696091071706594191
166,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096218232035087356996603069073696091071706594191
167,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962182320350873569966030690736960910717068594191
168,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609621823203508735699660306907369609107170685941971
169,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096218232035087356996603069073696091071706859421971
170,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962182320350873569966030690736960910717706859421971
171,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609621862320350873569966030690736960910717706859421971
172,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096218623203508735699660306907936960910717706859421971
173,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962186232035087356996603069079369609107017706859421971
174,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609621862320350873569966030690793696091070817706859421971
175,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096218623203508735699660306907936960910708167706859421971
176,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962186232035087356996603069079369609107081677068596421971
177,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609621862320350873569966030690793696091070816737068596421971
178,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096218623203508735699660306907936960910708167370685964219791
179,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962186232035087356996603069079369609107081673706859642190791
180,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609621862320350873569966030690793696091070816737068539642190791
181,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096218623203508735699660306907936906091070816737068539642190791
182,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962186232035087356996603069079369060910708167370685396421907391
183,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675609624186232035087356996603069079369060910708167370685396421907391
184,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756096241862320350873569966030690793690260910708167370685396421907391
185,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467560962418623203508735699660306907936902609107081673470685396421907391
186,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675620962418623203508735699660306907936902609107081673470685396421907391
187,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756209624186232035087356996603069079369026091070816734706805396421907391
188,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467562096241862320350873569966030690793690260910708167347068065396421907391
189,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675620962418623203508735699660306907936902609107081673647068065396421907391
190,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756209624186232035087356996603069079369026091070816736470680653964219073191
191,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467562096241862320350873569966030690793690260910708169736470680653964219073191
192,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675620962418623203508735699660306907936902609107081697364706806539642190731991
193,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756209624186232035087356996603069079369026091070816973647068036539642190731991
194,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467562096241862320350873569966030690793690260910720816973647068036539642190731991
195,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675620962418623203508735699660306907936902609107208316973647068036539642190731991
196,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756209624186232035087356996603069079369092609107208316973647068036539642190731991
197,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467562096241862320350873569966030690793690926091072084316973647068036539642190731991
198,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675620962418623203508735699660306907936909260910720843169736470680365396452190731991
199,12757090267418309623943553204435034230169320330793073168190216890558136823932048764390833160159413459509708313592946756209624186232035087356996603069079369092609107208431697364706803653964521940731991
200,127570902674183096239435532044350342301693203307930731681902168905581368239320487643908331601594134595097083135929467562096241862320350873569966030690793690926091072084316973647068036539645219407319913
201,1275709026741830962394355320443503423016932033079307316819021689055813682393204876439083316015941345950970831359294675620962418623203508735699660306907936909260910720843169736470680365396452194073199313
"",""
"Status zakonczenia:","Osiagnieto limit iteracji"
"Czas wykonania (s):",3.3189435
