"sep=,"
"Krok","WygenerowanaLiczba"
128,213131222133121312124212125215331232213111321422513234412321312323133121213232321211512132314312151421312312233233231123383124321
129,2131312221331213121242121252153312322131113214225132344123213123231331212132323212115121323143121512421312312233233231123383124321
130,21313122213312131212421212521533123221311132142251323441232131231231331212132323212115121323143121512421312312233233231123383124321
131,213131222133121312124212125215331232213111321422513234412321312312313312121323232121151213231431212512421312312233233231123383124321
132,2131312221331213121242121252153312322131113214225132344123213123123133121211323232121151213231431212512421312312233233231123383124321
133,21313122213312131212421212521533123221311132142251323441232131231231331212113232321211512132314312125124213123126233233231123383124321
134,213131222133121312124212125215331232213111321422513234412321312312313312121132323212115121323143121253124213123126233233231123383124321
135,2131312221331213121242121252153312322131113214225132344123213123123132312121132323212115121323143121253124213123126233233231123383124321
136,21313122213312131212421212521533123221311132142251321344123213123123132312121132323212115121323143121253124213123126233233231123383124321
137,213131222133121312124212125215331232213111321422513212344123213123123132312121132323212115121323143121253124213123126233233231123383124321
138,2131312221331213121242121252153312322131113214225132123441232131231231323121211323233212115121323143121253124213123126233233231123383124321
139,21313122213312131212421212521153312322131113214225132123441232131231231323121211323233212115121323143121253124213123126233233231123383124321
140,213131222133121312124212125211533123221311132142251321234412321312312312323121211323233212115121323143121253124213123126233233231123383124321
141,2131312221331213121242121252115331232213111321422513212344123213123123123231212113232332121151213231431213253124213123126233233231123383124321
142,23131312221331213121242121252115331232213111321422513212344123213123123123231212113232332121151213231431213253124213123126233233231123383124321
143,231313122213312131212421212521153312322131113214225132123441232131231231232312121132323321211512132314312132531242131231262332332311233831214321
144,2313131222133121312124212125211533123221311132142251321234412321312312312323121211323233212115121323143121325312421312312623322332311233831214321
145,23131312221331213121242121252115331232213111321422513212344123213112312312323121211323233212115121323143121325312421312312623322332311233831214321
146,231313122213312131212421212521153312322131113214225132123441232131123123123231212113232332121152121323143121325312421312312623322332311233831214321
147,2313131222133121312124212125211533123221311132142251321234412321311231231232312121132323321211521213231431213253124213123126233223332311233831214321
148,23131312221331213121242121252115331232213111321422513212344123213112312312323121211323233212115212132314312132531242131231262332233323112338311214321
149,231313122213312131212421212521153312322131113214225132123441232131123123123231212113232323212115212132314312132531242131231262332233323112338311214321
150,2313131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212132314312132531242131231262332233323112338311214321
151,23131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531242131231262332233323112338311214321
152,231313122213312131212421212521153312322133111321422513212344123213112312312323121211323232321211521213323143121325312442131231262332233323112338311214321
153,2313131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212338311214321
154,23113131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212338311214321
155,231131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531244213123126233223332312123382311214321
156,2311313122213312131212421212521153312322133111321422513212344123213112312312323121211323232321211521213323143121325312442131231262332233323121233182311214321
157,23113131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212331823112154321
158,231131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531244213123121623322333231212331823112154321
159,2311313122213312131212421212521153312322133111321422513212344123213112312312323121211323232321211521213323143121325312442131231216232322333231212331823112154321
160,23113131222133121312124212125211533123221331113214225131212344123213112312312323121211323232321211521213323143121325312442131231216232322333231212331823112154321
161,231131312221331213121242121252115331232213311132142251312123441232131123123123231212113232323212115221213323143121325312442131231216232322333231212331823112154321
162,2311313122213312131212421212521153312322133111321422513121234412321311231231232312121132323232121152212133231431213253124421312312162323223332312123318213112154321
163,23113131222133121312124212125211533123221331113214225131212344123213112312312323121211323232321211522121332314312132531244213123121623232233323121233182131121254321
164,231131312221331213121242121252115331232213311132142251312123441232131123123123231212113232323212115221213323143121325312442131231216232322333231212331821131121254321
165,2311313122213312131212421212521153312322133111321422251312123441232131123123123231212113232323212115221213323143121325312442131231216232322333231212331821131121254321
166,23113131222133121312124212125211533123221331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333231212331821131121254321
167,231131312322133121312124212125211533123221331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333231212331821131121254321
168,2311313123221331213121242121252115331232321331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333231212331821131121254321
169,23113131232213312131212421212521153312323213311132142225131212344123213112312312323121211323232321211522132133231431213253124421312312162323223332312123318211331121254321
170,231131312322133121131212421212521153312323213311132142225131212344123213112312312323121211323232321211522132133231431213253124421312312162323223332312123318211331121254321
171,2311313123221331211312124212125211533123232133111321422251312123441232131123123123231212113232323212115221321332314312132531244213123121623232233323122123318211331121254321
172,23113131232213312113121242121252115331232321331113214222513121234412321311231231232312121132323232121152213213323143121325312442131231216232322333233122123318211331121254321
173,231131312322133121131212421212521153312323213311132142225131212344123213112312312323121211323232321211522132133231431213253124421312312162323223332331221233418211331121254321
174,2311313123221331211312124212125211533123232133111321422251312123424123213112312312323121211323232321211522132133231431213253124421312312162323223332331221233418211331121254321
175,23113131232213312113121242121252115331232321331113214222513121234241232131123123123231212113232323212115221321332314312132531244211312312162323223332331221233418211331121254321
176,231131312322133121131212421212521153312323213231113214222513121234241232131123123123231212113232323212115221321332314312132531244211312312162323223332331221233418211331121254321
177,2311313123221331211312124212125211533123232132311132142225131214234241232131123123123231212113232323212115221321332314312132531244211312312162323223332331221233418211331121254321
178,23113131232213312113121242121252115331232321323111321422251312142342412321311231231232312121132323232121152213213323143121325312442113123121623232233322331221233418211331121254321
179,231131312322133121131321242121252115331232321323111321422251312142342412321311231231232312121132323232121152213213323143121325312442113123121623232233322331221233418211331121254321
180,2311313123221331211313212421212521153312323213231113214212251312142342412321311231231232312121132323232121152213213323143121325312442113123121623232233322331221233418211331121254321
181,23113131232213312113132124212125211533123232132311132142122513121423424123213112312312323121211323223232121152213213323143121325312442113123121623232233322331221233418211331121254321
182,231131312322133121131321242121252115331232321323111321421221513121423424123213112312312323121211323223232121152213213323143121325312442113123121623232233322331221233418211331121254321
183,2311313123221331211313212421212521153312323213231113214212215131214234241232131123123123231212113232232321211522132133231431213253124421131231216232322333223312212334182113311212542321
184,23113131232213131211313212421212521153312323213231113214212215131214234241232131123123123231212113232232321211522132133231431213253124421131231216232322333223312212334182113311212542321
185,231131312322131312113132124212125211533123232132311132142122151312142342412321311231231232312121132322323212115221321332314312132531244211312312162323223332233122123341282113311212542321
186,2311313123221313121131321242121252115331232321323111321421221513121423424123213112312312323121211323223232121152213213323143121325312442113123121623232233322331221233412821131311212542321
187,23113131232213131211313221242121252115331232321323111321421221513121423424123213112312312323121211323223232121152213213323143121325312442113123121623232233322331221233412821131311212542321
188,231131312322131312113132212421212521153312323213231113214212215131214234241232131123123123231212113232232321211522132133231143121325312442113123121623232233322331221233412821131311212542321
189,2311313123221313121131322124212125211533123232132311132142122151312142342412321311231231232312121132322323212115221321332311431213253124421131231216232322332322331221233412821131311212542321
190,23113131232213131211313221242121252115331232321323111321421221513121423424123213112312312323121211323223232121152231321332311431213253124421131231216232322332322331221233412821131311212542321
191,231131312322131312113132212421212521153312323213231113214212215131214234241232131123123123231212113232232321211522313213323114312132531244211312312161232322332322331221233412821131311212542321
192,2311313123221313121131322124212125211533123232132311132142122151312142342421232131123123123231212113232232321211522313213323114312132531244211312312161232322332322331221233412821131311212542321
193,23113133123221313121131322124212125211533123232132311132142122151312142342421232131123123123231212113232232321211522313213323114312132531244211312312161232322332322331221233412821131311212542321
194,231131331232213131211313221242121252115331232321323111321421221513121423424212321311231231232312121132372232321211522313213323114312132531244211312312161232322332322331221233412821131311212542321
195,2311313312322131312113132212421212521153312323213231113214212215131214234242123213112312312323121211323722323212115223132133231143121325312442113123212161232322332322331221233412821131311212542321
196,23113133123221313121131322124212125211533123232132311132142122151312142342421232131123123123231212113237223232121152231332133231143121325312442113123212161232322332322331221233412821131311212542321
197,231131331232213131211313221242121252115331232321323111321421221513121423424212321311231231232312121132372232321211522313321332311431213253124421131232121612323223323223312212334121821131311212542321
198,2311313312322131312113132212421212521153312323213231113214212215131214234242123213112312312323121212132372232321211522313321332311431213253124421131232121612323223323223312212334121821131311212542321
199,23113133123221313121131322124212125211533123232132311132142122151312142342421232131123123123231212121323722323212115223133213323114312132531244211312321216112323223323223312212334121821131311212542321
200,231131331232213131211313221242121252115331232321323112132142122151312142342421232131123123123231212121323722323212115223133213323114312132531244211312321216112323223323223312212334121821131311212542321
"",""
"Status zakonczenia:","Ukonczono (Wariant A)"
"Czas wykonania (s):",6.836769
