"sep=,"
"Krok","WygenerowanaLiczba"
1,12
2,127
3,1217
4,13217
5,123217
6,1232171
7,12321713
8,123217123
9,1232171123
10,12321721123
11,123217211123
12,1232172111223
13,12321721112231
14,123217211212231
15,1232172112112231
16,12321721121122321
17,123217211213122321
18,1232172112131221321
19,12321721121331221321
20,123213721121331221321
21,1232137215121331221321
22,12321372151213312231321
23,132321372151213312231321
24,1321321372151213312231321
25,12321321372151213312231321
26,123213213726151213312231321
27,1232132137261512133122331321
28,12321321317261512133122331321
29,123213213172615121331223313221
30,1232132131726151213312123313221
31,12321321317261512133121233123221
32,123213213172615121331212331232211
33,1232132131726151213321212331232211
34,12321321317261512133212123312322131
35,123213213172615121332121233132322131
36,1232132131726151213321212133132322131
37,12321321317261512132321212133132322131
38,123213213172615121132321212133132322131
39,1232132131726151211323213212133132322131
40,12321321317226151211323213212133132322131
41,123213213172261512113423213212133132322131
42,1232132131722615121213423213212133132322131
43,12321321317226151212134232132121331323232131
44,123213213172261512121314232132121331323232131
45,1232132131722615121212314232132121331323232131
46,12321321317226151212123142321321213341323232131
47,123213213217226151212123142321321213341323232131
48,1232132132172261512121233142321321213341323232131
49,12321321321722615121212331423213212133413231232131
50,123213213217226151212123314232132121334135231232131
51,1232132132172261512121233142321321213341352312321341
52,12321321321722615121212331423213212133413523123221341
53,123213213217226151212123311423213212133413523123221341
54,1232132132172261512121233114232132121334135231232213241
55,12321321321722615121212331142321321213314135231232213241
56,123213213217226151212123311423213212133141352312322123241
57,1232132132172261512121233114232132121331413523123221231241
58,12321321321722615121212331142321321213314135231232212321241
59,123213213217226151212123311423213212133141135231232212321241
60,1232132132172261512121233114232132121331411352312322123212413
61,12321321321722615121212331142321321213314211352312322123212413
62,123213213217226151212123311423213212133142113523123221213212413
63,1232132132172326151212123311423213212133142113523123221213212413
64,12321321321723261512121233114232132121323142113523123221213212413
65,123213213217232611512121233114232132121323142113523123221213212413
66,1232132132172326115121212331142321321213231421135231232212132212413
67,12321321321723261151212123311423213212132314211352312322121322124413
68,123213213217232611512121233114232132121323143211352312322121322124413
69,1232132132172326131512121233114232132121323143211352312322121322124413
70,12321321321723261315121212323114232132121323143211352312322121322124413
71,123213213217232613151212123231142321321213231432113523123221213221243413
72,1232132132172326131511212123231142321321213231432113523123221213221243413
73,12321322132172326131511212123231142321321213231432113523123221213221243413
74,123213221321723261315112121232311423213212132314321135231232121213221243413
75,1232132213217232613151121212323114232132121323143211352312321212132212434213
76,12321322132172326131511212123231142321321231323143211352312321212132212434213
77,123213221321723261315112121232311423321321231323143211352312321212132212434213
78,1232132213217232613151121212323114233213212313231432113523123212121132212434213
79,12232132213217232613151121212323114233213212313231432113523123212121132212434213
80,122321322132172326131511212123231142332132123132314321135231232121211132212434213
81,1223213221321723261315112121232311423321321233132314321135231232121211132212434213
82,12232132213217232613151121212323114233213212331323143211352312321231211132212434213
83,122321322132172326131511212123231142332132123313231432113523122321231211132212434213
84,1223213221321723261315112121232311423321321233132314321135231221321231211132212434213
85,12232132213217232613151121212323114233213212331323143211352312213212312111322123434213
86,122321322132172326131511212123231142332132123313231432113522312213212312111322123434213
87,1223213221321723261315112121232311423321321233132314321135212312213212312111322123434213
88,12232132213217232613151121212323114233213212331323143211352123122132123121113221234534213
89,122321322132172326131511212123231142332132123313231432113521231221321231211143221234534213
90,1223213221321723261315112121232311423321321233132314321135212312213212312111432212345342613
91,12232132213217232613151121212323114233213212331323143211352123122132123121114322123453426123
92,122321322132172326131511212123231142332132123313231432113521231221321231211143221234534261423
93,1223213221321723261315112121232311423321321223313231432113521231221321231211143221234534261423
94,12232132213217232613151123121232311423321321223313231432113521231221321231211143221234534261423
95,122321322132172326131511231212323114123321321223313231432113521231221321231211143221234534261423
96,1223213221321723261315112312123231141233213212233132314321123521231221321231211143221234534261423
97,12232132213217232613151123121232311412333213212233132314321123521231221321231211143221234534261423
98,122321322132172326131511231212323114123133213212233132314321123521231221321231211143221234534261423
99,1223213221321723261315112312123231141231332132122331323143211235212312213212312111343221234534261423
100,12232132213217232613151123121232311241231332132122331323143211235212312213212312111343221234534261423
101,122321322132172326131511231212323112412313321321223313231432112352123122132112312111343221234534261423
102,1223213221321723261315112312123231124123133213212233132314321123521231221321123121113432212345342261423
103,12232132213217232613151123121232311241213133213212233132314321123521231221321123121113432212345342261423
104,122321322132172326131511231212323112412131332132122331323124321123521231221321123121113432212345342261423
105,1223213221321723261315112312123231124121313321321212331323124321123521231221321123121113432212345342261423
106,12232132213217232613151123121232311241213133213212123313231243211235212531221321123121113432212345342261423
107,122321322132172326131511231212323112412131332132121233132312432112353212531221321123121113432212345342261423
108,1223213221321723261315112312123231124121313321321212331323124321121353212531221321123121113432212345342261423
109,12232132213217232613151123121232311241213133213212123313231243211213532122531221321123121113432212345342261423
110,121232132213217232613151123121232311241213133213212123313231243211213532122531221321123121113432212345342261423
111,1212321322132172326131511231212323112412131332132121233132312432112135321225312213221123121113432212345342261423
112,12123213221321723261315112312123231124121313321321212331323124321121353212253122113221123121113432212345342261423
113,121232132213217232613151123121232311241213133321321212331323124321121353212253122113221123121113432212345342261423
114,1212321322132172326213151123121232311241213133321321212331323124321121353212253122113221123121113432212345342261423
115,12123213221321723262131511231212323112412131333213212123313231243211213532122531221132211231211134322123453422614231
116,121232132213217232621315112312123231124121313332132121233132312432112132532122531221132211231211134322123453422614231
117,1212321322132172326213151123121232311241213133321321212331323124321121325321225312211322112312111343223123453422614231
118,12123213221321723262131511231212323112412131333213212123313231243211213253212253122113212112312111343223123453422614231
119,121232132213217232621315112312123231212412131333213212123313231243211213253212253122113212112312111343223123453422614231
120,1212321322132172326213151123121232312124121313332132121233132312432112132532122531221132121123121113432231234534226134231
121,12123213221321723262131511231212323121241213133321321212331323124321121325321225312211321211231211134322312345342726134231
122,121232132213217232621315112312123231212412131333321321212331323124321121325321225312211321211231211134322312345342726134231
123,1212321322132172326213151123121232312124121313333213212123313231243211213253212253122113212112312111343223123453427261342231
124,12123213221321723262313151123121232312124121313333213212123313231243211213253212253122113212112312111343223123453427261342231
125,121232132213217232623131511231212323121241213133332132121233132312432112132532122531221132121123121113432231123453427261342231
126,1212321322132172326231315112312123231212412131333321321212331323124321121325321225312211321211231211134322311234532427261342231
127,12123213221321723262313151123121232312124121313333213212123313231243211213253212425312211321211231211134322311234532427261342231
128,121232132213217232623131511231212323121241213133332132121233132313243211213253212425312211321211231211134322311234532427261342231
129,1321232132213217232623131511231212323121241213133332132121233132313243211213253212425312211321211231211134322311234532427261342231
130,13212321322132172326231315112312123231212412213133332132121233132313243211213253212425312211321211231211134322311234532427261342231
131,132123213221321723262313151123121232312112412213133332132121233132313243211213253212425312211321211231211134322311234532427261342231
132,1321232132213217232623131511231212323121124122131333321321221233132313243211213253212425312211321211231211134322311234532427261342231
133,13212321322132172326231315112312123231211241221313333213212212331323132432112132532124253122113212112312111343223131234532427261342231
134,132123213221321723262313151123121232312112412213133332132122123313231324321121325321242531122113212112312111343223131234532427261342231
135,1321232132213217232623131511231212323121124122131333321321221233132313243211213253212425311221132121212312111343223131234532427261342231
136,13212321322132172326231315112312123231211241221313333213212212433132313243211213253212425311221132121212312111343223131234532427261342231
137,132123213221321723262313151123121232312112412213133332132212212433132313243211213253212425311221132121212312111343223131234532427261342231
138,1321232132213217232623131511231212323121124122131333321322122124331323132432112132532124253112211321212123121113432231312345324272613412231
139,13212321322132172326231315112312123231211241221313333213221221243313231324321121325321242531122113212121231211134332231312345324272613412231
140,132123213221321723262313151123121232312112412213133332132212212433132313243211213225321242531122113212121231211134332231312345324272613412231
141,1321232132213217232623131511231212323121412412213133332132212212433132313243211213225321242531122113212121231211134332231312345324272613412231
142,13212321322132172326231315112312123231214124122131233332132212212433132313243211213225321242531122113212121231211134332231312345324272613412231
143,132123213221321723262313151123121232312141241221312333321322122124331323132432112132253231242531122113212121231211134332231312345324272613412231
144,1321232132213217232623131511231212323121412412213123333213221221243313231324321121322532312412531122113212121231211134332231312345324272613412231
145,13212321322132172326231315112312123231214124122131233332132212212433132313243211213225323124125311221132121212312111343322313123453242726134212231
146,132123213221321723262313151123121232312141241221312333321322122124331323132432112132251323124125311221132121212312111343322313123453242726134212231
147,1321232132213217232623131511231212323121412412213122333321322122124331323132432112132251323124125311221132121212312111343322313123453242726134212231
148,13212321322132172326231315112312123231214124122131223333213221221243313231324321121322513231241125311221132121212312111343322313123453242726134212231
149,132123213221321723262313151123121232312141241221312233332132212212433132313243211213225132312411253112211321212123121113433223131234532427261342122321
150,1321232132213217232623131511231212323121412412213122333312132212212433132313243211213225132312411253112211321212123121113433223131234532427261342122321
151,13212321322132172326231315112312123231214124122131223333121322122212433132313243211213225132312411253112211321212123121113433223131234532427261342122321
152,132123213221321723262313151123121232312141241221312233331213221222124331323132432112132251323124112531122113212121231211134332231312345324272613421223421
153,1321232132213217232623131511231212323121412412213122333312132212221243313231324321121322251323124112531122113212121231211134332231312345324272613421223421
154,13212321322132172326231315112312123231214124122131223333121322122212433132313243211213222513231424112531122113212121231211134332231312345324272613421223421
155,132123213221321723262313151123121232312141241221312233331213221222124331323132432112132225132314241125311221132121212312111343322313123453242726134212323421
156,1321232132213217232623131511231212323121412412213122333312132212221243313231322432112132225132314241125311221132121212312111343322313123453242726134212323421
157,13212321322132172326231315112312123231214124122131223333121322122212433132313224321121322251323142411253112211321212123121113433223131234532427261342123123421
158,132123213221321723262313151123121232312141241221312233331213221222124331323132243211213222513231424112531122113212121231211134332231312345324327261342123123421
159,1321232132213217232623131511231212323121412412213122333312132212221243313231322432112132225132314241125311221132121212312111343322313123453243272613432123123421
160,13212321322132172326231315112312123231214124122131223333121322122212343313231322432112132225132314241125311221132121212312111343322313123453243272613432123123421
161,132123213221321723262313151123121232312141241221312233331213221222123433132313222432112132225132314241125311221132121212312111343322313123453243272613432123123421
162,1321232132213217232623131511231212323121412412213122333312132212221234331323132224321121322251323142411253112211321212123112111343322313123453243272613432123123421
163,13212321322132172326231315112312123231214124122131223333121322122212343313231322243211213222513231424112553112211321212123112111343322313123453243272613432123123421
164,132123213221321723262313151123121232312141241221312233331213221222123433132313222432112132225132314241125531122113212121231121113143322313123453243272613432123123421
165,1321232132213217232623131521123121232312141241221312233331213221222123433132313222432112132225132314241125531122113212121231121113143322313123453243272613432123123421
166,13212321322132172326231315211231212323121412412213123233331213221222123433132313222432112132225132314241125531122113212121231121113143322313123453243272613432123123421
167,132123213221321723262313152112312123231214124122131232333312132212221234331323132224321121322251323142411255311221132121212311211131433223131234532432726134321231123421
168,1321232132213217232623131521123121232312141241221312323333132132212221234331323132224321121322251323142411255311221132121212311211131433223131234532432726134321231123421
169,13212321322132172326231315211231212323121412412213123233331321322122212343313231322243211212322251323142411255311221132121212311211131433223131234532432726134321231123421
170,132123213221321723262313152311231212323121412412213123233331321322122212343313231322243211212322251323142411255311221132121212311211131433223131234532432726134321231123421
171,1321232132213217232623131523112312123231214124122131232333313213221222123433132313222432112123222513231424112553112211321212123112111314332231312345324327261343212311231421
172,13212321322132172326231315231123121232312141241221312323333132132212221234331323132222432112123222513231424112553112211321212123112111314332231312345324327261343212311231421
173,132123213221321723262313152311231212323121412412213123233331321322122212343313231322224312112123222513231424112553112211321212123112111314332231312345324327261343212311231421
174,1321232132213217232623131523112312123223121412412213123233331321322122212343313231322224312112123222513231424112553112211321212123112111314332231312345324327261343212311231421
175,13212321322132172326231315231123121232231214124122131232333313213221222123433132313222243121121232225132314241125531122113212121231121113143321231312345324327261343212311231421
176,132123213221321723262313152311231212322312141241221312323333132132212221234331323132222431211212322251323142411255311221213212121231121113143321231312345324327261343212311231421
177,1321232132213217232623131523112312123223121412412213123233331321322122212343313231322224312112123222513231424112553112212132121212311211131433212313123453243272613432123112314121
178,13212321322132172326231315231123121232231213412412213123233331321322122212343313231322224312112123222513231424112553112212132121212311211131433212313123453243272613432123112314121
179,132123213221321723262313152311231212322312134124122131232333313213221222123433132313222245312112123222513231424112553112212132121212311211131433212313123453243272613432123112314121
180,1321232132213217232623131523112312312322312134124122131232333313213221222123433132313222245312112123222513231424112553112212132121212311211131433212313123453243272613432123112314121
181,13212321322132172326231315231123123123223121341241221312323333132132212221234331323132222453121121232225132314241125531122121321212123112111314332123131234532432172613432123112314121
182,132123213221321723262313152311231231232231213412412213123233331321322122212343313231322224531211212322251323142411255311221213212121231212111314332123131234532432172613432123112314121
183,1321232132213217232623131523112312312322312134124122131232333313213221222123433132313222245312112123222513231424112355311221213212121231212111314332123131234532432172613432123112314121
184,13212321322132172326231315231123123123223121341241221312323333132132212221234331323132222453121121232225132314241123553131221213212121231212111314332123131234532432172613432123112314121
185,132123213221321723262313152311231231232231213412412213123233331321132212221234331323132222453121121232225132314241123553131221213212121231212111314332123131234532432172613432123112314121
186,1321232132213217232623131523112312312322312134124122131232333313211322122212343313231322224531211212322251323142411235531312212313212121231212111314332123131234532432172613432123112314121
187,13212321322132172326231315223112312312322312134124122131232333313211322122212343313231322224531211212322251323142411235531312212313212121231212111314332123131234532432172613432123112314121
188,132123213221321723262313152231123123123223121341241221312323333132113221222123431313231322224531211212322251323142411235531312212313212121231212111314332123131234532432172613432123112314121
189,1321232132213217232623131522311231231232231213412412213123233331321132212221234313132313222245312112123222513231424112355313122123132121212312121113143321231313234532432172613432123112314121
190,21321232132213217232623131522311231231232231213412412213123233331321132212221234313132313222245312112123222513231424112355313122123132121212312121113143321231313234532432172613432123112314121
191,213212321322132172326231315223112312312322312134124122113123233331321132212221234313132313222245312112123222513231424112355313122123132121212312121113143321231313234532432172613432123112314121
192,2132123213221321723262313152231123123123223121341241221131232333313211322212221234313132313222245312112123222513231424112355313122123132121212312121113143321231313234532432172613432123112314121
193,21321232132213217232623131522311231243123223121341241221131232333313211322212221234313132313222245312112123222513231424112355313122123132121212312121113143321231313234532432172613432123112314121
194,213212321322132172326231315223112312431232231213412412211312323333132113222122212343131323132222453121121232225132314241123553131221231321212123121211131433212313132345324321726134322123112314121
195,2132123213221321723262313152231123124312322312134124122113123233331321132221222123431313231322224531211212322251323142411235531312212313212121231212111314332123131323453243217261343221213112314121
196,21321232132213217232623131522311231243123223121341241221131232333313211322212221234313132313222245312112123222513231424112355313122123132121212312121113143321231313323453243217261343221213112314121
197,213212321322132172326231315223112312431232231213412412211312323333132113222122212343131323132222453121126123222513231424112355313122123132121212312121113143321231313323453243217261343221213112314121
198,2132123213221321723262313152231123124312322312134124122113123233331321132222122212343131323132222453121126123222513231424112355313122123132121212312121113143321231313323453243217261343221213112314121
199,21321232132213217232623131522311231243123223121341241221131232333313211322221222123431313231322224531211261232225132314241123553131221231321212123121211131433212313133234531243217261343221213112314121
200,213212321322132172326231315223112312431232231213412412211312323333132113222212221234313132313222245312112612322251323142411235531312212313212121231212111312433212313133234531243217261343221213112314121
"",""
"Status zakonczenia:","Ukonczono (Wariant A)"
"Czas wykonania (s):",3.669484
