"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
88,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabac""",-1
89,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabaca""",-1
90,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacab""",-1
91,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabc""",-1
92,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabca""",-1
93,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcac""",-1
94,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacb""",-1
95,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbc""",-1
96,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbca""",-1
97,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbcab""",-1
98,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbcaba""",-1
99,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbcabac""",-1
100,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbcabaca""",-1
101,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbcabacab""",-1
102,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacabcacbcabacabc""",-1
"","",""
"Status zakonczenia:","Osiagnieto limit iteracji",""
"Kierunek:","OdKonca",""
"Czas wykonania (s):",0.017311,""
