"sep=,"
"Krok","WygenerowanaLiczba"
1,1
2,11
3,211
4,2111
5,21121
6,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
7,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
8,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
9,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
10,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
11,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
12,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
13,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
14,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
15,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
16,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
17,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
18,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
19,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
20,"lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
"",""
"Status zakonczenia:","lgorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
"Czas wykonania (s):",0.0604942
