"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""32""",1
3,"""132""",1
4,"""2132""",1
5,"""12132""",1
6,"""312132""",1
7,"""1312132""",1
8,"""21312132""",1
9,"""321312132""",1
10,"""1321312132""",1
11,"""31321312132""",1
12,"""231321312132""",1
13,"""1231321312132""",1
14,"""21231321312132""",1
15,"""321231321312132""",1
16,"""1321231321312132""",1
17,"""21321231321312132""",1
18,"""121321231321312132""",1
19,"""3121321231321312132""",1
20,"""13121321231321312132""",1
21,"""213121321231321312132""",1
22,"""3213121321231321312132""",1
23,"""13213121321231321312132""",1
24,"""313213121321231321312132""",1
25,"""2313213121321231321312132""",1
26,"""32313213121321231321312132""",1
27,"""132313213121321231321312132""",1
28,"""2132313213121321231321312132""",1
29,"""12132313213121321231321312132""",1
30,"""312132313213121321231321312132""",1
31,"""1312132313213121321231321312132""",1
32,"""21312132313213121321231321312132""",1
33,"""321312132313213121321231321312132""",1
34,"""1321312132313213121321231321312132""",1
35,"""41321312132313213121321231321312132""",1
36,"""141321312132313213121321231321312132""",1
37,"""2141321312132313213121321231321312132""",1
38,"""12141321312132313213121321231321312132""",1
39,"""312141321312132313213121321231321312132""",1
40,"""1312141321312132313213121321231321312132""",1
41,"""21312141321312132313213121321231321312132""",1
42,"""121312141321312132313213121321231321312132""",1
43,"""4121312141321312132313213121321231321312132""",1
44,"""14121312141321312132313213121321231321312132""",1
45,"""214121312141321312132313213121321231321312132""",1
46,"""1214121312141321312132313213121321231321312132""",1
47,"""31214121312141321312132313213121321231321312132""",1
48,"""131214121312141321312132313213121321231321312132""",1
49,"""4131214121312141321312132313213121321231321312132""",1
50,"""14131214121312141321312132313213121321231321312132""",1
51,"""214131214121312141321312132313213121321231321312132""",1
52,"""1214131214121312141321312132313213121321231321312132""",1
53,"""41214131214121312141321312132313213121321231321312132""",1
54,"""141214131214121312141321312132313213121321231321312132""",1
55,"""3141214131214121312141321312132313213121321231321312132""",1
56,"""13141214131214121312141321312132313213121321231321312132""",1
57,"""213141214131214121312141321312132313213121321231321312132""",1
58,"""1213141214131214121312141321312132313213121321231321312132""",1
59,"""31213141214131214121312141321312132313213121321231321312132""",1
60,"""131213141214131214121312141321312132313213121321231321312132""",1
61,"""4131213141214131214121312141321312132313213121321231321312132""",1
62,"""14131213141214131214121312141321312132313213121321231321312132""",1
